date	ajustado
27/01/2012	117.5
30/01/2012	117.2
31/01/2012	117.4
01/02/2012	116.3
02/02/2012	114.9
03/02/2012	118.8
06/02/2012	117.5
07/02/2012	116.5
08/02/2012	116.5
09/02/2012	116.3
10/02/2012	116
13/02/2012	116.9
14/02/2012	117.4
15/02/2012	116.7
16/02/2012	116.5
17/02/2012	117.4
22/02/2012	116.7
23/02/2012	118.9
24/02/2012	120.7
27/02/2012	120.3
28/02/2012	121.5
29/02/2012	126.5
01/03/2012	125.2
02/03/2012	127.8
05/03/2012	127.5
06/03/2012	127.1
07/03/2012	129.8
08/03/2012	127
09/03/2012	131.2
12/03/2012	127
13/03/2012	129.3
14/03/2012	130.5
15/03/2012	131.9
16/03/2012	139.2
19/03/2012	141.5
20/03/2012	139
21/03/2012	142
22/03/2012	141
23/03/2012	141.6
26/03/2012	142
27/03/2012	137.1
28/03/2012	137
29/03/2012	138
30/03/2012	112
02/04/2012	116
03/04/2012	119.5
04/04/2012	118.5
05/04/2012	123.1
09/04/2012	92.272
10/04/2012	88.6627
11/04/2012	85.1319
12/04/2012	83.955
13/04/2012	83.8765
16/04/2012	83.1704
17/04/2012	84.3473
18/04/2012	85.8381
19/04/2012	87.4858
20/04/2012	88.7412
23/04/2012	92.1151
24/04/2012	98.3136
25/04/2012	98.4706
26/04/2012	97.6859
27/04/2012	100.3537
30/04/2012	101.1383
02/05/2012	97.4639
03/05/2012	97.4639
04/05/2012	96.8628
07/05/2012	97.2062
08/05/2012	97.7215
09/05/2012	98.3226
10/05/2012	98.1508
11/05/2012	95.3171
14/05/2012	92.7409
15/05/2012	90.1648
16/05/2012	88.8767
17/05/2012	85.0125
18/05/2012	85.8712
21/05/2012	85.8712
22/05/2012	88.018
23/05/2012	83.2092
24/05/2012	81.0625
25/05/2012	81.1483
28/05/2012	83.0375
29/05/2012	82.7799
30/05/2012	81.5777
31/05/2012	81.5777
01/06/2012	80.2896
04/06/2012	77.4559
05/06/2012	74.7939
06/06/2012	74.7939
08/06/2012	80.1179
11/06/2012	79.6885
12/06/2012	82.4364
13/06/2012	83.5527
14/06/2012	84.3256
15/06/2012	86.3865
18/06/2012	86.3865
19/06/2012	83.9821
20/06/2012	82.6081
21/06/2012	81.4918
22/06/2012	81.4059
25/06/2012	79.2592
26/06/2012	84.4973
27/06/2012	82.6081
28/06/2012	81.6636
29/06/2012	81.1483
02/07/2012	84.1538
03/07/2012	90.8518
04/07/2012	93.1703
05/07/2012	92.6551
06/07/2012	94.3725
10/07/2012	92.7409
11/07/2012	91.0235
12/07/2012	94.5442
13/07/2012	93.5138
16/07/2012	93.5138
17/07/2012	95.7464
18/07/2012	93.5997
19/07/2012	94.9736
20/07/2012	95.8323
23/07/2012	93.5138
24/07/2012	93.4279
25/07/2012	94.1149
26/07/2012	97.4639
27/07/2012	101.4139
30/07/2012	102.6161
31/07/2012	101.2422
01/08/2012	93.5138
02/08/2012	92.9127
03/08/2012	93.5997
06/08/2012	94.029
07/08/2012	92.4833
08/08/2012	94.3725
09/08/2012	93.4279
10/08/2012	94.3725
13/08/2012	91.7964
14/08/2012	87.8463
15/08/2012	87.3311
16/08/2012	88.2756
17/08/2012	85.6136
20/08/2012	88.2655
21/08/2012	80.6518
22/08/2012	81.3601
23/08/2012	79.678
24/08/2012	81.8028
27/08/2012	80.0321
28/08/2012	81.3601
29/08/2012	79.5009
30/08/2012	80.5633
31/08/2012	81.006
03/09/2012	82.6881
04/09/2012	79.2354
05/09/2012	78.8812
06/09/2012	80.6518
10/09/2012	81.8028
11/09/2012	87.2032
12/09/2012	86.1408
13/09/2012	88.7082
14/09/2012	88.2655
15/09/2012	87.3802
18/09/2012	90.4788
19/09/2012	90.2132
20/09/2012	89.9476
21/09/2012	88.0885
24/09/2012	90.7444
25/09/2012	89.7706
26/09/2012	90.3017
27/09/2012	89.4164
28/09/2012	87.8229
01/10/2012	88.2655
